AircraftId,BoardingCapacity,PayloadCapacity,MaxHoverTime
1,20,3959,12
2,10,4502,6
3,8,4685,11
4,17,3264,5
5,15,3440,9
6,14,3483,16
7,16,4182,11
8,10,3081,11
9,11,3673,6
10,9,4449,13
11,18,4575,3
12,17,4855,15
13,8,3805,3
14,12,4868,11
15,19,4415,9
16,19,4912,3
17,20,3642,4
18,14,3188,13
19,19,3318,9
20,12,4701,2
21,11,4626,13
22,9,3039,6
23,9,4920,12
24,10,4516,10
25,9,3331,10
26,20,4287,11
27,19,3253,13
28,18,4973,5
29,10,4863,3
30,9,4759,4
31,18,4130,15
32,20,3028,15
33,13,3503,5
34,10,4204,9
35,15,3804,5
36,14,4234,15
37,16,4806,16
38,13,4543,14
39,9,4197,8
40,15,3122,11
41,10,3480,8
42,17,4989,11
43,16,3918,5
44,19,4984,9
45,11,4847,12
46,15,3543,15
47,16,4905,10
48,9,4920,11
49,19,3542,3
50,9,3309,11
51,17,3722,13
52,17,4281,12
53,20,4097,14
54,12,4255,14
55,11,4809,8
56,12,4603,5
57,11,4423,5
58,8,4202,10
59,9,4969,2
60,15,3994,7
61,14,4466,10
62,19,4147,8
63,15,3114,10
64,11,4139,6
65,12,4809,5
66,15,3962,2
67,16,3900,13
68,19,3377,7
69,9,4830,9
70,18,4413,5
71,16,3728,13
72,9,4035,15
73,12,3451,16
74,12,3580,13
75,17,4129,8
76,12,4794,9
77,11,3400,14
78,12,4980,4
79,18,4220,5
80,11,3055,3
81,9,4695,16
82,16,3728,15
83,15,3016,14
84,13,4272,16
85,14,3299,6
86,12,4080,5
87,18,4722,8
88,12,4341,11
89,11,3065,7
90,14,4882,3
91,9,3879,2
92,16,4752,10
93,12,4600,11
94,20,3247,8
95,15,4258,11
96,16,3704,3
97,17,4768,3
98,13,4275,11
99,19,4919,5
100,8,3867,3
101,9,4574,14
102,17,3727,10
103,10,3773,14
104,18,3940,5
105,8,3456,4
106,10,4380,14
107,14,5000,9
108,15,3784,7
109,13,3538,2
110,19,3514,11
111,11,4318,14
112,14,4274,5
113,16,4113,16
114,20,4218,3
115,17,3314,13
116,18,4570,4
117,14,4665,4
118,15,4322,3
119,10,3182,4
120,20,3213,3
121,11,3211,15
122,10,4656,8
123,15,4349,13
124,18,3547,15
