EquipmentId,EquipmentType,Weight
1,Flight data recorder 491U,328
2,Navigation system 633L,735
3,Heads-up display 204P,301
4,Radar system 019Y,458
5,Brake chute 916B,708
6,Flight data recorder 577U,595
7,Targeting pod 553O,664
8,Oxygen system 523B,696
9,Landing gear system 649W,418
10,Thermal imaging system 685O,564
11,Bomb rack 465B,355
12,Flare dispenser 657E,456
13,Chaff dispenser 978F,472
14,Heads-up display 877H,548
15,Aircraft beacon 995U,650
16,Landing gear system 934E,344
17,Survival kit 424N,664
18,Survival kit 082R,524
19,Navigation system 323R,448
20,External fuel tank 931E,754
21,Survival kit 805M,646
22,Stormscope system 845F,575
23,Aircraft beacon 013E,322
24,Missile launcher 194G,621
25,Parachute recovery system 261L,550
26,Laser designator 285N,644
27,Engine fire suppression system 596C,366
28,Ejection seat 478M,456
29,Bomb rack 405R,565
30,Targeting pod 818M,641
31,Stormscope system 494W,472
32,Chaff dispenser 439X,394
33,Environmental control system 460Q,441
34,Electronic warfare pod 165B,722
35,Autopilot system 022Q,724
36,Environmental control system 107Q,684
37,Countermeasure system 045J,494
38,Weapons bay 055T,778
39,Survival kit 405X,468
40,Environmental control system 049A,560
41,Cabin pressurization system 065V,456
42,Engine fire suppression system 123H,360
43,Aircraft beacon 064E,325
44,Flight data recorder 194T,797
45,Laser designator 585T,426
46,Weapons bay 814I,336
47,Helmet mounted display 309M,773
48,Targeting pod 955T,342
49,Helmet mounted display 967O,767
50,Aircraft beacon 683M,764
51,Laser designator 457X,588
52,Laser designator 275G,508
53,Thermal imaging system 005I,516
54,Radar system 154U,562
55,Aircraft beacon 026Y,710
56,Weapons bay 451H,425
57,Cabin pressurization system 787A,788
58,Heads-up display 401P,704
59,Environmental control system 808K,642
60,Electronic warfare pod 277B,614
61,Thermal imaging system 247Y,545
62,Torpedo mount 047W,574
63,Anti-collision light 316V,366
64,Sonobuoy launcher 021N,391
65,Refueling probe 771R,722
66,Radar warning receiver 746J,418
67,Weapons bay 712W,485
68,Helmet mounted display 848L,695
69,Thermal imaging system 552B,669
70,Flare dispenser 902R,474
71,Cabin pressurization system 268Y,510
72,Infrared targeting system 449B,451
73,Sonobuoy launcher 631K,778
74,Chaff dispenser 916D,610
75,Thermal imaging system 650I,624
76,Sonobuoy launcher 709S,449
77,Autopilot system 553I,505
78,Night vision system 870P,475
79,External fuel tank 970V,490
80,Navigation system 796R,408
81,Engine fire suppression system 316Z,442
82,Radar warning receiver 596A,333
83,Missile launcher 442A,574
84,Thermal imaging system 310Z,401
85,Missile launcher 890P,529
86,Navigation system 352J,329
87,Communications radio 136O,789
88,Refueling probe 665A,530
89,Chaff dispenser 384I,787
