AircraftId,PrepTime,MaxRange
401,3,1854
402,1,1851
403,3,1104
404,5,1429
405,3,865
406,2,1988
407,4,1641
408,3,1417
409,2,2306
410,1,2035
411,4,1063
412,4,1834
413,3,2141
414,4,1979
415,2,2434
416,1,2149
417,4,1203
418,3,1258
419,2,2221
420,2,1855
421,3,2306
422,3,1962
423,2,1979
424,3,1640
425,3,1253
426,3,2249
427,4,1052
428,3,1292
429,1,822
430,2,1107
431,3,2110
432,5,1151
433,1,1344
434,1,2473
435,3,2099
436,4,1708
437,5,887
438,4,1774
439,1,1144
440,2,1687
441,2,2470
442,1,838
443,2,1669
444,2,1652
445,5,1572
446,2,1600
447,1,1558
448,5,2424
449,3,1102
450,2,1517
451,5,1702
452,5,2332
453,5,1439
454,3,1134
455,3,2470
456,3,2020
457,3,2390
458,4,2019
459,3,1936
460,2,1181
461,3,1815
462,4,1978
463,2,964
464,4,1168
465,3,1109
466,1,1874
467,2,1289
468,3,1018
469,3,845
470,5,1265
471,5,834
472,5,1688
473,4,2289
474,1,1549
475,1,855
476,5,1348
477,2,1953
478,4,1968
479,5,1009
480,1,1799
481,1,886
482,3,2109
483,5,1317
484,5,1507
485,5,1443
486,3,988
487,2,1638
488,2,992
489,2,1178
490,5,1110
491,3,2410
492,3,1656
493,4,1233
494,2,1785
495,4,2228
496,5,2435
497,1,1994
498,4,2319
499,5,1385
500,3,2345
501,3,2124
502,5,1111
503,4,1303
504,2,995
505,4,1033
506,3,821
507,4,2228
508,4,1115
509,4,2202
510,1,1066
511,2,844
512,2,1958
513,1,1703
514,5,2025
515,1,2237
516,4,1565
517,2,1315
518,2,1293
519,3,2086
520,1,1846
521,2,1319
522,4,1987
523,1,1653
524,5,1316
525,1,2075
526,1,1845
527,1,1194
528,4,2092
529,5,1451
530,1,1699
531,1,1905
532,1,1834
533,2,1812
534,3,802
535,5,1260
536,4,1596
537,1,1624
538,3,904
539,3,2054
540,3,2118
541,4,965
542,4,1476
543,3,2430
544,3,1192
545,1,1915
546,5,1650
547,4,2348
548,3,1153
549,1,1525
550,1,1500
551,1,1183
552,3,1211
553,5,868
554,5,1948
555,1,1686
556,5,2152
557,4,1448
558,4,1313
559,4,2064
560,2,1688
561,3,2146
562,4,1723
563,4,1068
564,3,1776
565,5,2370
566,1,1983
567,4,1109
568,3,2354
569,5,1867
570,3,1158
571,3,825
572,2,1361
573,5,1950
574,1,1922
575,2,2215
576,4,1254
577,1,2256
578,4,2164
579,3,2197
580,2,1957
581,1,1533
582,1,980
583,5,878
584,3,1324
585,3,2314
586,4,904
587,2,1967
588,4,2018
589,1,1833
590,2,1267
591,5,1346
592,5,2171
593,3,2076
594,3,2331
595,1,1078
596,5,1779
597,4,1821
598,5,1228
599,4,856
600,1,1240
601,2,1751
602,1,1432
603,5,1844
604,1,2478
605,2,1252
606,5,2407
607,4,1362
608,4,1183
609,2,1950
610,2,889
611,1,1738
612,2,2451
613,5,2193
614,1,1691
615,4,1042
616,3,1735
617,3,1050
618,1,854
619,1,1034
620,4,1775
621,1,1538
622,3,2424
623,5,883
624,1,2122
625,3,2299
626,1,1336
627,4,1413
628,2,1418
629,1,2174
630,1,992
631,4,2152
632,1,985
633,3,1257
634,4,1165
635,5,2115
636,2,2251
637,3,906
638,3,1324
639,4,2330
640,1,1274
641,1,1707
642,1,2285
643,4,2306
644,1,1119
645,1,2280
646,4,2247
647,4,1144
648,4,2184
649,5,1755
650,4,1074
651,5,1675
652,2,1810
653,2,2118
654,5,1976
655,3,1073
656,5,1593
657,1,1146
658,3,2084
659,4,1698
660,4,881
661,1,1049
662,2,1821
663,3,2068
664,1,1106
665,2,1589
666,2,1024
667,1,1500
668,2,2025
669,3,2184
670,2,1926
671,1,1512
672,1,2128
673,1,1495
674,3,2044
675,1,1062
676,2,1722
677,4,1440
678,2,2360
679,1,1336
680,4,1739
681,4,1419
682,2,1200
683,2,1457
684,1,2254
685,4,1582
686,5,2094
687,4,1610
688,1,2055
689,4,1009
690,5,1329
691,1,1936
692,3,1179
693,1,1629
694,2,1613
695,1,2045
696,2,1543
697,1,2491
698,2,2409
699,2,2206
700,5,1246
701,3,1209
702,5,1951
703,1,2311
704,4,1718
705,3,1705
706,3,2030
707,4,957
708,4,935
709,2,1016
710,5,812
711,2,1422
712,1,2128
713,4,2012
714,1,1520
715,2,924
716,3,2146
717,2,1577
718,3,1025
719,5,1736
720,2,1663
721,3,1314
722,5,1226
723,3,2425
724,2,810
725,5,1767
726,5,2177
727,1,2267
728,2,2226
729,3,1463
730,4,844
731,5,1356
732,5,2050
733,2,1518
734,5,1781
735,4,822
736,4,1682
737,3,2410
738,5,2098
739,4,1238
740,5,1856
741,2,1208
742,1,1694
743,5,1556
744,1,2315
745,1,2317
746,1,855
747,3,2429
748,3,976
749,5,890
750,5,1064
751,2,1962
752,1,1071
753,1,1884
754,1,1932
755,1,1630
756,2,1892
757,1,1256
758,3,2157
759,2,1043
760,5,1270
761,2,1967
762,1,1881
763,3,877
764,5,2495
765,1,2137
766,3,1459
767,5,2156
768,2,1036
769,5,1924
770,1,1095
771,3,1847
772,4,1674
773,2,1317
774,3,2244
775,2,1005
776,5,1998
777,4,2323
778,4,1579
779,1,1032
780,4,1388
781,3,2047
782,1,2088
783,3,1936
784,2,1002
785,2,1510
786,3,1543
787,3,852
788,4,1070
789,5,1841
790,3,1668
791,5,2116
792,2,1563
793,5,992
794,4,870
795,4,2269
796,3,2227
797,4,1773
798,1,1188
799,4,1432
800,2,2403
